Slug,Nom,Catégorie,Exercice
rit-accrocher-manteau-cartable,Accrocher son manteau et poser son cartable au bon endroit,Vie de classe,
rit-sortir-materiel-demande,"Sortir le matériel demandé (cahier, trousse, manuel)",Vie de classe,
rit-ecrire-date-titre,Ecrire la date et le titre au bon endroit,Vie de classe,
rit-coller-fiche-cahier,Coller une fiche dans le cahier sans dépasser,Vie de classe,
rit-ranger-trousse,"Ranger sa trousse (crayon, gomme, règle, stylo)",Vie de classe,
rit-tailler-crayon-nettoyer-pelures,Tailler un crayon et nettoyer les pelures,Vie de classe,
rit-aller-chercher-feuille,Se lever pour aller chercher une feuille,Vie de classe,
rit-mettre-feuille-bon-casier,"Mettre une feuille dans le bon casier (brouillon, à rendre, etc.)",Vie de classe,
rit-demander-aide-sans-deranger,"Demander de l’aide sans déranger (attendre, lever la main, chuchoter)",Vie de classe,
rit-choisir-livre-ranger,Choisir un livre dans la bibliothèque de classe et le ranger après,Vie de classe,
rit-ardoise-ecrire-effacer-ranger,"Prendre une ardoise, écrire, effacer, reposer proprement",Vie de classe,
rit-distribuer-feutres-recuperer,Distribuer des feutres par groupe puis les récupérer,Vie de classe,
rit-preparer-travail-groupe,Préparer un travail de groupe (répartir les rôles),Vie de classe,
rit-passer-individuel-binome,Passer du travail individuel au travail en binôme,Vie de classe,
rit-changer-place-ilot-atelier,Changer de place pour un îlot / un atelier,Vie de classe,
rit-mettre-place-atelier-rotation,"Mettre en place un atelier “rotation” (trois tables, trois activités)",Vie de classe,
rit-faire-passer-feuille-presence,Faire passer une feuille de présence et la récupérer,Vie de classe,
rit-mettre-materiel-geometrie-table,"Mettre le matériel de géométrie sur la table (règle, équerre, compas)",Vie de classe,
rit-mettre-livre-porte-vues,Mettre un livre dans le porte-vues à la bonne rubrique,Vie de classe,
rit-preparer-tableau-classe,"Préparer le tableau (effacer, écrire l’objectif, tracer une colonne)",Vie de classe,
rit-lumiere-volets-selon-consigne,Éteindre la lumière / ouvrir les volets selon la consigne,Vie de classe,
rit-aerer-classe-refermer,Aérer la classe pendant la récréation puis refermer,Vie de classe,
rit-pause-active,"Faire une “pause active” (se lever, étirer, s’asseoir)",Vie de classe,
rit-fin-seance-verifier-table,"Fin de séance : vérifier la table (déchets, matériel, chaise)",Vie de classe,
rit-verifier-prenom-copie,"Vérifier que son prénom est sur la copie avant de rendre
",Vie de classe,
rit-souligner-mots-consigne,Souligner les mots importants de la consigne,Travail en autonomie,
rit-verifier-toutes-questions,Vérifier qu’on a répondu à toutes les questions d’une feuille,Travail en autonomie,
rit-relire-corriger,"Relire et corriger (orthographe, ponctuation, calculs)",Travail en autonomie,
rit-copier-lecon-surligner,Copier une leçon au propre puis la surligner,Travail en autonomie,
rit-preparer-plan-travail,Préparer son “plan de travail” (ce que je fais maintenant / ensuite),Travail en autonomie,
rit-remplir-auto-evaluation,Remplir une fiche d’auto-évaluation (je sais / j’hésite / à revoir),Travail en autonomie,
rit-echanger-copie-relecture,Échanger une copie avec un camarade pour relecture,Travail en autonomie,
rit-utiliser-checklist-copie,Utiliser une checklist “j’ai mis la date / mon nom / le titre”,Travail en autonomie,
rit-reviser-lecon-10-min,"Réviser une leçon en 10 minutes (lecture, questions, relecture)",Travail en autonomie,
rit-apprendre-poesie,"Apprendre une poésie (découper en parties, répéter, vérifier)",Travail en autonomie,
rit-preparer-cartable-demain,Préparer le cartable pour demain (selon l’emploi du temps),Travail en autonomie,
rit-noter-devoirs-agenda,Noter les devoirs dans l’agenda sans oublier la date,Travail en autonomie,
rit-faire-signer-agenda,Faire signer l’agenda et vérifier la signature,Travail en autonomie,
rit-ranger-feuilles-classeur,Ranger les feuilles dans le bon classeur à la maison,Travail en autonomie,
rit-preparer-presentation-orale,"Préparer une présentation orale (intro, 3 idées, conclusion)",Travail en autonomie,
rit-deplacement-silence-couloir,Se déplacer en silence dans le couloir,Vie scolaire,
rit-aller-toilettes-revenir,"Aller aux toilettes : demander, y aller, revenir, se laver les mains",Vie scolaire,
rit-shabiller-pour-sortir,"S’habiller pour sortir (manteau, écharpe, bonnet si besoin)",Vie scolaire,
rit-preparer-recreation-sortir,"Se préparer pour la récréation (ranger, se lever, sortir)",Vie scolaire,
rit-revenir-recreation-installer,"Revenir de récréation (se ranger, entrer, s’installer)",Vie scolaire,
rit-aller-gymnase-en-groupe,"Aller au gymnase (marcher en groupe, rester avec la classe)",Vie scolaire,
rit-faire-appel-avant-sortie,Faire l’appel avant de sortir de l’école,Vie scolaire,
rit-respecter-point-rendez-vous,Respecter un point de rendez-vous (regroupement),Vie scolaire,
rit-binome-sortie-verifier,Se mettre en binôme pour une sortie (vérifier son binôme),Vie scolaire,
rit-compter-eleves-deplacement,Compter les élèves avant / après déplacement,Vie scolaire,
rit-preparer-alerte-incendie,"Se préparer à une alerte incendie (sortie, point de rassemblement)",Vie scolaire,
rit-laver-mains-avant-manger,Se laver les mains avant d’aller manger,Vie scolaire,
rit-prendre-plateau-couverts,Prendre son plateau et ses couverts dans le bon ordre,Vie scolaire,
rit-choisir-entree-cantine,Choisir entre deux entrées (selon ce qui est proposé),Vie scolaire,
rit-aller-chercher-pain,Aller chercher du pain et ne prendre qu’un morceau,Vie scolaire,
rit-sasseoir-place-indiquee,S’asseoir à la place indiquée / à une table autorisée,Vie scolaire,
rit-gouter-avant-dire-aime-pas,Goûter avant de dire “je n’aime pas”,Vie scolaire,
rit-trier-dechets-cantine,"Trier les déchets (serviette, reste alimentaire, emballage)",Vie scolaire,
rit-rapporter-plateau,Rapporter son plateau et empiler correctement,Vie scolaire,
rit-remplir-gourde-refermer,Remplir sa gourde au point d’eau puis refermer,Vie scolaire,
rit-respecter-niveau-sonore,Respecter le niveau sonore (parler doucement),Vie scolaire,
rit-organiser-casier,"Organiser son casier (cahiers à gauche, manuels à droite)",Matériel scolaire,
rit-etiqueter-cahier,"Mettre une étiquette sur un cahier (nom, classe, matière)",Matériel scolaire,
rit-reparer-couverture-cahier,Réparer une couverture de cahier avec du scotch proprement,Matériel scolaire,
rit-remplacer-stylo-vide,Remplacer un stylo vide par un stylo qui marche,Matériel scolaire,
rit-preparer-trousse-minimum,"Préparer une trousse “minimum” (crayon, gomme, règle)",Matériel scolaire,
