Slug,Intitulé,Compétence,Hors-programme,Indicateur Acquis,Indicateur En cours d'Acquisition,Indicateur Non-Acquis,Niveau,Variables pédagogiques
att-ordre-sequence-cm1,Ordonner trois instructions fournies pour obtenir le résultat demandé dans une situation simple.,cmp-ordre-sequence,No,"2–4 étapes complètes, ordre correct, justification simple (“si je fais X avant Y, ça marche / sinon non”).","ordre globalement correct mais 1 erreur/oubli, justification partielle ou avec aide.","ordre inexécutable (inversions bloquantes), ≥2 étapes manquantes/ajoutées qui cassent l’objectif, pas de justification.",CM1,"Nombre d’ordres acceptés, Nombre d’étapes à ordonner"
att-ordre-sequence-cm2,"Identifier, parmi plusieurs programmes de cinq instructions, ceux qui produisent exactement le même résultat.",cmp-ordre-sequence,No,"5–7 étapes correctes ; propose 2 ordres valides ; justifie le choix (clarté, simplicité, réduction d’erreur).",5–7 étapes avec 1–2 imprécisions ; voit 2 ordres possibles avec guidage ; justification courte.,<5 étapes pertinentes ou incohérence majeure ; n’identifie qu’un seul ordre possible ; justification faible/incorrecte.,CM2,"Nombre d’ordres acceptés, Nombre d’étapes à ordonner"
att-ordre-sequence-6e,Construire un programme Turtle en ordonnant huit blocs fournis afin d’obtenir le tracé demandé.,cmp-ordre-sequence,No,programme de 8–9 instructions correctement ordonné ; résultat attendu obtenu en respectant les paramètres fournis.,ordre globalement correct mais 1–2 blocs mal placés ; résultat partiel ou correction avec aide.,ordre incohérent ou programme incomplet ; résultat attendu non obtenu.,6eme,"Nombre d’ordres acceptés, Nombre d’étapes à ordonner"
att-entrees-sorties-etat-cm1,Déterminer la sortie produite par un programme simple à partir des instructions données.,cmp-entrees-sorties-etat,Yes,identifie correctement entrée et sortie + explique le lien.,repère E/S mais explication incomplète / avec aide.,ne repère pas entrée/sortie ou les confond ; lien entrée→sortie incohérent.,CM1,Entrées/Sorties : explicites ou à inférer
att-entrees-sorties-etat-cm2,Retrouver l’entrée numérique à donner à un programme pour obtenir la sortie indiquée.,cmp-entrees-sorties-etat,Yes,infère correctement (entrée ou sortie manquante) et vérifie sur un exemple.,inférence plausible mais vérification partielle / nécessite guidage.,inférence fausse ou non vérifiée ; incohérence non détectée.,CM2,Entrées/Sorties : explicites ou à inférer
att-entrees-sorties-etat-6e,"Choisir, parmi plusieurs programmes fournis, celui qui transforme correctement une ou plusieurs entrées données en une sortie attendue.",cmp-entrees-sorties-etat,No,"identifie les entrées et la sortie attendue, suit le traitement proposé par chaque programme et choisit celui qui produit exactement la sortie demandée.","repère correctement les entrées et la sortie mais a besoin d'aide pour suivre ou comparer un des traitements proposés.","confond entrée et sortie ou choisit un programme dont le traitement ne permet pas d'obtenir la sortie attendue.",6eme,Entrées/Sorties : explicites ou à inférer
att-repetition-n-cm1,Déterminer combien de fois un motif d’instructions est répété dans un programme.,cmp-repetition-n,Yes,"identifie correctement le bloc répété + N, et replace la boucle au bon endroit.",repère la répétition mais limites du bloc imparfaites / N correct avec aide.,"ne repère pas la répétition, ou inclut/exclut des actions dans le bloc répété, N incorrect.",CM1,"Tâche sur la boucle, Statut de N (répétitions)"
att-repetition-n-cm2,Choisir le programme avec boucle qui est équivalent à une séquence d’instructions répétées.,cmp-repetition-n,Yes,"duplication → boucle correcte, N déduit juste, vérification par exécution.",bonne idée de boucle mais 1 erreur (N ou contenu) ; correction après retour/essai.,duplication non transformée / boucle incorrecte ; N déduit faux ; résultat ne correspond pas.,CM2,"Tâche sur la boucle, Statut de N (répétitions)"
att-repetition-n-6e,"Construire un programme avec une boucle en ordonnant les instructions fournies, y compris les actions à placer hors de la boucle.",cmp-repetition-n,No,programme correctement ordonné avec une boucle adaptée ; N et contenu de la boucle correspondent à la consigne ; les actions hors boucle sont bien placées.,"boucle globalement adaptée mais 1 erreur sur N, sur le contenu répété ou sur le placement d’une action hors boucle.",boucle absente ou incohérente ; N incorrect ; actions répétées ou placées hors boucle de façon incompatible avec la consigne.,6eme,"Tâche sur la boucle, Statut de N (répétitions)"
att-parametrer-instructions-cm1,Renseigner la valeur d’un paramètre manquant à partir des informations données dans la consigne.,cmp-parametrer-instructions,No,"1–2 paramètres corrects, sans ambiguïté.","1 paramètre correct, 1 paramètre hésitant / corrigé après essai.",confond les paramètres ; résultat hors consigne.,CM1,Nombre de paramètres à renseigner
att-parametrer-instructions-cm2,Vérifier si un paramètre proposé dans un programme respecte la consigne.,cmp-parametrer-instructions,No,"2–3 paramètres correctement gérés, contraintes respectées, choix justifié si optionnel.",paramètres globalement bons mais 1 oubli (optionnel) ou justification faible.,optionnel mal géré (casse l’instruction) ou contraintes non respectées.,CM2,Nombre de paramètres à renseigner
att-parametrer-instructions-6e,Compléter un pseudo-code à trous avec plusieurs paramètres fournis par la consigne.,cmp-parametrer-instructions,No,paramètre correct du premier coup + cohérence avec la consigne.,bon paramètre mais 1 erreur de forme/unité ; correction avec aide.,"paramètre incompatible (mauvais format/valeur), instruction ne marche pas.",6eme,Nombre de paramètres à renseigner
att-expliquer-programme-cm1,Choisir la phrase qui décrit correctement ce qu’effectue une courte séquence d’instructions.,cmp-expliquer-programme,No,associe les instructions principales aux actions de l’objet et indique le comportement obtenu.,décrit une partie des actions mais oublie une instruction importante ou le résultat final.,décrit une autre action que celle produite par le programme ou ne relie pas le programme à l’objet.,CM1,Longueur du programme à expliquer
att-expliquer-programme-cm2,Sélectionner les affirmations qui décrivent correctement les actions réalisées par un programme simple.,cmp-expliquer-programme,No,explique les actions de l’objet dans l’ordre et relie le comportement final à la mission.,explique globalement le comportement mais omet une action ou le lien avec la mission.,confond les actions programmées ou ne comprend pas le comportement obtenu.,CM2,Longueur du programme à expliquer
att-expliquer-programme-6e,"Compléter un texte qui explique les étapes importantes d’un programme, leur rôle et le résultat obtenu.",cmp-expliquer-programme,No,"produit une explication structurée reliant les instructions, les actions de l’objet et la réussite de la mission.",explique le comportement général mais le lien entre une instruction et son effet reste incomplet.,donne une explication incompatible avec le programme ou avec la mission.,6eme,Longueur du programme à expliquer
att-simuler-programme-cm1,Exécuter mentalement une courte séquence de déplacements pour déterminer la position finale d’un robot.,cmp-simuler-programme,No,détermine correctement l’action ou la position finale obtenue par l’objet.,suit une partie de la séquence mais commet une erreur dans le comportement final.,ne parvient pas à suivre la séquence ou annonce un comportement incompatible.,CM1,"Niveau de trace demandé, Nombre d’exécutions à réaliser"
att-simuler-programme-cm2,Exécuter mentalement un programme simple pour juger si des affirmations sur l’état obtenu sont vraies ou fausses.,cmp-simuler-programme,No,calcule correctement les valeurs ou états obtenus et détermine l’état final de l’objet.,détermine une partie des états mais commet une erreur dans une valeur intermédiaire ou finale.,ne relie pas les instructions aux valeurs ou états produits par le programme.,CM2,"Niveau de trace demandé, Nombre d’exécutions à réaliser"
att-simuler-programme-6e,Tester mentalement un même programme dans plusieurs situations initiales et repérer celles où la mission réussit.,cmp-simuler-programme,No,simule correctement les essais et sélectionne les situations qui produisent l’état attendu.,identifie une partie des essais réussis mais commet une erreur dans une simulation.,ne relie pas les états initiaux aux états obtenus par l’exécution du programme.,6eme,"Niveau de trace demandé, Nombre d’exécutions à réaliser"
att-identifier-erreurs-cm1,Repérer l’instruction qui rend un programme incohérent avec le résultat attendu.,cmp-identifier-erreurs,No,compare le comportement observé à la mission et repère correctement une non-conformité simple.,identifie que la mission n’est pas accomplie mais explique imparfaitement pourquoi.,juge le programme sans tenir compte du comportement attendu.,CM1,"Nombre de solutions à comparer, Support de critères"
att-identifier-erreurs-cm2,Identifier les raisons qui expliquent pourquoi un programme ne permet pas d’obtenir le résultat attendu.,cmp-identifier-erreurs,No,localise l’instruction en cause et relie son effet à l’échec de la mission.,repère l’anomalie ou l’instruction en cause mais le lien avec la mission reste partiel.,ne distingue pas le comportement obtenu du comportement attendu.,CM2,"Nombre de solutions à comparer, Support de critères"
